Full set	1,104,105,109,110,2,201,3,4,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,76,77,78,79,80,81,82,83,84,85,86,87,88,89,92,93,94
Core conditions	1,43,44,50,51,55,57,59,60,64,65,66,67,68,70,71,73,76,78,79,83
Secondary coditions	2,3,4,42,45,46,47,48,49,52,53,54,56,58,61,62,63,69,72,75,77,80,81,84,85,86,87,88,89,92,93,94,104,105,109,110,201
Tranche 1 (>2.5 per 10,000)	67,77,1,44,2
Tranche 2 (0.8 to 1.8 per 10,000)	83,4,55,59,69,64,66,71,70
Tranche 3 (0.1 to 0.4 per 10,000)	57,62,72,63,65,50,54,76,87,45,46,47,48,49,51,56,58,85
Tranche 4 (<0.4 per 10,000)	42,43,60,68,78,86,89,93,3,52,53,61,73,74,75,79,80,81,82,84,88,92,94,104,105,109,110,201
All except SCAD	1,104,105,109,110,2,201,3,4,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,76,78,79,80,81,82,83,84,85,86,87,88,89,92,93,94
All except SCAD and 3MCC	1,104,105,109,110,2,201,3,4,42,43,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,76,78,79,80,81,82,83,84,85,86,87,88,89,92,93,94
Disorders with unique genes	110,201,3,42,43,44,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,66,67,72,73,74,76,77,79,80,81,82,83,84,87,88,89,93
ALDH4A1	86,92,94
AUH	105,45,48
HADHA	65,78
HADHB	65,78
LMBRD1	104,69
MMAA	104,68
MMAB	104,68
MMACHC	104,69
MMADHC	104,109,69
MUT	104,70,71
OPA3	105,47
PAH	1,2,4
PRODH	85,92,94
TAZ	105,46
