Pipeline	DisorderID	DisorderName	TP	FN	FN+FP	affected	FNwHet	FNwCNVHet	FNw_Multi_HetGene	FNFPwHet	FNFPwCNVHet	FNFPw_Multi_HetGene
val_AA10.6.NonSyn.02_batch1	1	Phenylketonuria (PKU) 	9	11	1	21	8	0	0	1	0	0
val_AA10.6.NonSyn.02_batch1	104	Methylmalonic Acidemia, unclassified (MMA)	0	2	0	2	2	0	1	0	0	0
val_AA10.6.NonSyn.02_batch1	110	Ornithine Transcarbamylase Deficiency (OTC Deficiency)	1	2	0	3	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	2	Hyperphenylalaninemia, variant	4	3	0	7	3	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	201	Carbamoyl Phosphate Synthetase I Deficiency(CPS1 Deficiency)	2	0	0	2	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	4	Hyperphenylalaninemia, benign	9	2	0	11	2	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	42	2-Methylbutyryl-CoA Dehydrogenase Deficiency (2MBCD)	1	0	0	1	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	44	3-Methylcrotonyl-CoA Carboxylase Deficiency (3MCC Deficiency)	8	7	0	15	5	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	50	Argininosuccinyl-CoA Lyase Deficiency (ASAL Deficiency)	0	0	1	1	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	51	Beta-Ketothiolase Deficiency (BKT)	1	0	0	1	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	55	Carnitine Transporter Deficiency (CTD)/Carnitine Uptake Defect (CUD)	4	4	1	9	2	0	0	1	0	0
val_AA10.6.NonSyn.02_batch1	57	Citrullinemia type I (Argininosuccinic Acid Synthetase Deficiency (ASAS deficiency)/CIT-1)	3	3	0	6	3	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	59	Glutaric Acidemia type I (GA1)	1	0	0	1	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	62	Hypermethioninemia (MET/MAT Deficiency)	0	1	0	1	1	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	63	Isobutyryl-CoA Dehydrogenase Deficiency (IBD/IBG Deficiency)	1	2	0	3	1	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	64	Isovaleric Acidemia (IVA)	0	1	1	2	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	66	Maple Syrup Urine Disease (MSUD)	1	1	1	3	1	0	0	1	0	0
val_AA10.6.NonSyn.02_batch1	67	Medium Chain Acyl-CoA Dehydrogenase Deficiency (MCAD Deficiency)	14	3	0	17	3	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	69	Methylmalonic Acidemia, Cbl C, D, F (MMA)	0	1	1	2	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	70	Methylmalonic Acidemia mut 0 (MMA)	0	1	0	1	1	1	0	0	0	0
val_AA10.6.NonSyn.02_batch1	71	Methylmalonic Acidemia mut- (MMA)	1	0	0	1	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	72	Multiple Acyl-CoA Dehydrogenase Deficiency (MAD Deficiency)/Glutaric Acidemia type II (GA2)	2	1	0	3	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	73	Multiple Carboxylase Deficiency (MCD)	0	1	0	1	1	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	76	Propionic Acidemia (PA)	2	1	0	3	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	77	Short Chain Acyl-CoA Dehydrogenase Deficiency (SCAD Deficiency)	7	7	0	14	3	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	78	Trifunctional Protein Deficiency (TFP Deficiency)	0	1	0	1	1	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	83	Very Long Chain Acyl-CoA Dehydrogenase Deficiency (VLCAD Deficiency)	2	3	0	5	1	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	89	Ethylmalonic Encephalopathy (EE)	1	0	0	1	0	0	0	0	0	0
val_AA10.5_filter1	1	Phenylketonuria (PKU) 	21	0	0	21	0	0	0	0	0	0
val_AA10.5_filter1	104	Methylmalonic Acidemia, unclassified (MMA)	2	0	0	2	0	0	0	0	0	0
val_AA10.5_filter1	110	Ornithine Transcarbamylase Deficiency (OTC Deficiency)	2	1	0	3	0	0	0	0	0	0
val_AA10.5_filter1	2	Hyperphenylalaninemia, variant	6	1	0	7	1	0	0	0	0	0
val_AA10.5_filter1	201	Carbamoyl Phosphate Synthetase I Deficiency(CPS1 Deficiency)	0	2	0	2	0	0	0	0	0	0
val_AA10.5_filter1	4	Hyperphenylalaninemia, benign	10	1	0	11	1	0	0	0	0	0
val_AA10.5_filter1	42	2-Methylbutyryl-CoA Dehydrogenase Deficiency (2MBCD)	1	0	0	1	0	0	0	0	0	0
val_AA10.5_filter1	44	3-Methylcrotonyl-CoA Carboxylase Deficiency (3MCC Deficiency)	3	12	0	15	6	0	0	0	0	0
val_AA10.5_filter1	50	Argininosuccinyl-CoA Lyase Deficiency (ASAL Deficiency)	1	0	0	1	0	0	0	0	0	0
val_AA10.5_filter1	51	Beta-Ketothiolase Deficiency (BKT)	0	1	0	1	1	0	0	0	0	0
val_AA10.5_filter1	55	Carnitine Transporter Deficiency (CTD)/Carnitine Uptake Defect (CUD)	7	2	0	9	1	0	0	0	0	0
val_AA10.5_filter1	57	Citrullinemia type I (Argininosuccinic Acid Synthetase Deficiency (ASAS deficiency)/CIT-1)	2	3	0	5	2	0	0	0	0	0
val_AA10.5_filter1	59	Glutaric Acidemia type I (GA1)	0	1	0	1	0	0	0	0	0	0
val_AA10.5_filter1	62	Hypermethioninemia (MET/MAT Deficiency)	1	0	0	1	0	0	0	0	0	0
val_AA10.5_filter1	63	Isobutyryl-CoA Dehydrogenase Deficiency (IBD/IBG Deficiency)	0	3	0	3	2	0	0	0	0	0
val_AA10.5_filter1	64	Isovaleric Acidemia (IVA)	2	0	0	2	0	0	0	0	0	0
val_AA10.5_filter1	66	Maple Syrup Urine Disease (MSUD)	1	2	0	3	1	0	0	0	0	0
val_AA10.5_filter1	67	Medium Chain Acyl-CoA Dehydrogenase Deficiency (MCAD Deficiency)	5	12	0	17	9	0	0	0	0	0
val_AA10.5_filter1	69	Methylmalonic Acidemia, Cbl C, D, F (MMA)	2	0	0	2	0	0	0	0	0	0
val_AA10.5_filter1	70	Methylmalonic Acidemia mut 0 (MMA)	1	0	0	1	0	0	0	0	0	0
val_AA10.5_filter1	71	Methylmalonic Acidemia mut- (MMA)	0	1	0	1	1	0	0	0	0	0
val_AA10.5_filter1	72	Multiple Acyl-CoA Dehydrogenase Deficiency (MAD Deficiency)/Glutaric Acidemia type II (GA2)	1	2	0	3	0	0	0	0	0	0
val_AA10.5_filter1	73	Multiple Carboxylase Deficiency (MCD)	0	1	0	1	0	0	0	0	0	0
val_AA10.5_filter1	76	Propionic Acidemia (PA)	2	1	0	3	0	0	0	0	0	0
val_AA10.5_filter1	77	Short Chain Acyl-CoA Dehydrogenase Deficiency (SCAD Deficiency)	6	8	0	14	2	0	0	0	0	0
val_AA10.5_filter1	78	Trifunctional Protein Deficiency (TFP Deficiency)	0	1	0	1	1	0	0	0	0	0
val_AA10.5_filter1	83	Very Long Chain Acyl-CoA Dehydrogenase Deficiency (VLCAD Deficiency)	3	2	0	5	1	0	0	0	0	0
val_AA10.5_filter1	89	Ethylmalonic Encephalopathy (EE)	1	0	0	1	0	0	0	0	0	0
AA10.6.NonSyn.02_filter2	1	Phenylketonuria (PKU) 	26	34	1	61	22	0	0	1	0	0
