Pipeline	Gene	DisorderID	TP	FN+FP	FP	FNwHet	FNwCNVHet	FNFPwHet	FNFPwCNVHet
val_AA10.6.NonSyn.02_batch1	999	999	0	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	ABCD4	104	0	0	0	1	0	0	0
val_AA10.6.NonSyn.02_batch1	ACAD8	63	1	0	0	1	0	0	0
val_AA10.6.NonSyn.02_batch1	ACADM	67	14	0	0	3	0	0	0
val_AA10.6.NonSyn.02_batch1	ACADS	77	7	0	0	3	0	0	0
val_AA10.6.NonSyn.02_batch1	ACADSB	42	1	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	ACADVL	83	2	0	0	1	0	0	0
val_AA10.6.NonSyn.02_batch1	ACAT1	51	1	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	ACSF3	104	0	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	AHCY	62	0	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	ALDH4A1	86,92,94	0	1	1	0	0	0	0
val_AA10.6.NonSyn.02_batch1	AMT	74	0	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	ARG1	49	0	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	ASL	50	0	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	ASS1	57	3	0	0	3	0	0	0
val_AA10.6.NonSyn.02_batch1	AUH	105,45,48	0	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	BCKDHA	66	0	0	0	0	0	1	0
val_AA10.6.NonSyn.02_batch1	BCKDHB	66	0	0	0	1	0	0	0
val_AA10.6.NonSyn.02_batch1	BTD	73	0	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	CBS	60	0	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	CD320	104	0	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	CLPB	105	0	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	CPS1	201	2	1	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	CPT1A	53	0	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	CPT2	54	0	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	DBT	66	0	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	DLD	66	1	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	DNAJC19	105	0	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	ETFA	72	0	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	ETFB	72	0	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	ETFDH	72	2	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	ETHE1	89	1	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	FAH	79	0	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	GCDH	59	1	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	GCH1	3	0	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	GLDC	74	0	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	GLSH	74	0	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	GNMT	62	0	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	HADH	93	0	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	HADHA	65,78	0	1	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	HADHB	65,78	0	0	0	1	0	0	0
val_AA10.6.NonSyn.02_batch1	HCFC1	104	0	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	HLCS	73	0	0	0	1	0	0	0
val_AA10.6.NonSyn.02_batch1	HMGCL	43	0	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	HPD	81	0	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	HSD17B10	88	0	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	IVD	64	0	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	LMBRD1	104,69	0	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	MAT1A	62	0	0	0	1	0	0	0
val_AA10.6.NonSyn.02_batch1	MCCC1	44	1	0	0	1	0	0	0
val_AA10.6.NonSyn.02_batch1	MCCC2	44	7	0	0	4	0	0	0
val_AA10.6.NonSyn.02_batch1	MCEE	104	0	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	MLYCD	87	0	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	MMAA	104,68	0	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	MMAB	104,68	0	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	MMACHC	104,69	0	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	MMADHC	104,109,69	0	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	MTHFR	109	0	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	MTR	109	0	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	MTRR	109	0	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	MUT	104,70,71	1	0	0	2	1	0	0
val_AA10.6.NonSyn.02_batch1	Nogene	82	0	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	None	0	0	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	OAT	84	0	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	OPA3	105,47	0	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	OTC	110	1	1	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	PAH	1,2,4	22	0	2	13	0	1	0
val_AA10.6.NonSyn.02_batch1	PCBD1	52	0	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	PCCA	76	0	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	PCCB	76	2	1	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	PPM1K	66	0	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	PRODH	85,92,94	0	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	PTS	3	0	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	QDPR	52	0	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	SERAC1	105	0	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	SLC22A5	55	4	0	0	2	0	1	0
val_AA10.6.NonSyn.02_batch1	SLC25A13	58	0	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	SLC25A15	61	0	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	SLC25A20	56	0	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	SUCLA2	104	0	0	0	1	0	0	0
val_AA10.6.NonSyn.02_batch1	SUCLG1	104	0	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	TAT	80	0	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	TAZ	105,46	0	0	0	0	0	0	0
val_AA10.6.NonSyn.02_batch1	TCN2	104	0	1	0	0	0	0	0
val_AA10.5_filter1	999	999	0	0	0	0	0	0	0
val_AA10.5_filter1	ABCD4	104	0	0	0	0	0	0	0
val_AA10.5_filter1	ACAD8	63	0	0	0	2	0	0	0
val_AA10.5_filter1	ACADM	67	5	0	0	9	0	0	0
